Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Total,Date,Payment,Rating,anomalie,nom_segment
750017-78-8350,B,Rabat,Member,Male,Health and beauty,46.23,6,291.25,02/01/2019,Ewallet,8.8,Normal,Petit acheteur
750018-79-1241,A,Casablanca,Normal,Male,Home and lifestyle,51.63,2,108.42,01/13/2019,Credit card,6.7,Normal,Petit acheteur
750019-59-5345,A,Casablanca,Member,Male,Sports and travel,53.7,4,225.54,01/22/2019,Ewallet,9.2,Normal,Petit acheteur
750020-37-1958,B,Rabat,Normal,Female,Fashion accessories,96.15,9,908.62,01/20/2019,Cash,8.0,Normal,Acheteur moyen
750021-20-4044,C,Marrakech,Member,Female,Health and beauty,14.51,8,121.88,01/21/2019,Credit card,7.0,Normal,Petit acheteur
750022-63-9565,A,Casablanca,Member,Male,Sports and travel,20.79,10,218.29,01/06/2019,Credit card,5.5,Normal,Petit acheteur
750023-68-6180,B,Rabat,Normal,Male,Fashion accessories,74.45,4,312.69,03/27/2019,Ewallet,5.6,Normal,Petit acheteur
750024-54-2127,A,Casablanca,Member,Female,Food and beverages,99.85,2,209.69,03/06/2019,Ewallet,4.4,Anomalie,Petit acheteur
750025-95-5905,A,Casablanca,Normal,Female,Electronic accessories,49.43,9,467.11,03/25/2019,Credit card,8.2,Normal,Acheteur moyen
750026-36-6617,C,Marrakech,Member,Male,Home and lifestyle,20.39,2,42.82,02/04/2019,Ewallet,8.5,Normal,Petit acheteur
750027-52-3143,A,Casablanca,Normal,Female,Home and lifestyle,91.47,1,96.04,02/05/2019,Cash,4.6,Anomalie,Petit acheteur
750028-14-7049,C,Marrakech,Normal,Male,Fashion accessories,49.76,7,365.74,01/10/2019,Ewallet,7.4,Normal,Petit acheteur
750029-41-2684,C,Marrakech,Member,Female,Electronic accessories,13.76,6,86.69,02/15/2019,Ewallet,9.4,Normal,Petit acheteur
750030-62-5065,B,Rabat,Normal,Male,Electronic accessories,87.81,3,276.6,01/23/2019,Ewallet,9.3,Normal,Petit acheteur
750031-39-4652,B,Rabat,Member,Male,Sports and travel,88.49,8,743.32,02/14/2019,Cash,5.3,Normal,Acheteur moyen
750032-61-9785,A,Casablanca,Member,Female,Home and lifestyle,35.07,2,73.65,02/14/2019,Cash,9.8,Normal,Petit acheteur
750033-50-8149,B,Rabat,Member,Male,Home and lifestyle,26.07,5,136.87,02/25/2019,Credit card,4.2,Normal,Petit acheteur
750034-95-4228,C,Marrakech,Member,Female,Food and beverages,27.11,1,28.47,03/08/2019,Ewallet,8.3,Normal,Petit acheteur
750035-95-7691,B,Rabat,Normal,Male,Fashion accessories,92.86,10,975.03,02/08/2019,Ewallet,5.9,Anomalie,Acheteur moyen
750036-82-5930,B,Rabat,Normal,Female,Food and beverages,21.45,7,157.66,03/28/2019,Cash,8.0,Normal,Petit acheteur
750037-96-4501,B,Rabat,Member,Female,Home and lifestyle,28.91,10,303.56,03/01/2019,Cash,7.6,Normal,Petit acheteur
750038-40-6085,C,Marrakech,Normal,Male,Fashion accessories,17.63,9,166.6,02/12/2019,Credit card,8.0,Normal,Petit acheteur
750039-90-4185,A,Casablanca,Member,Male,Health and beauty,14.16,8,118.94,02/28/2019,Ewallet,7.7,Normal,Petit acheteur
750040-99-9486,C,Marrakech,Normal,Female,Sports and travel,31.96,1,33.56,02/24/2019,Ewallet,9.4,Normal,Petit acheteur
750041-66-9270,B,Rabat,Member,Male,Health and beauty,51.08,8,429.07,03/18/2019,Credit card,8.0,Normal,Acheteur moyen
750042-76-8939,B,Rabat,Normal,Male,Fashion accessories,87.53,8,735.25,03/23/2019,Ewallet,5.6,Normal,Acheteur moyen
750043-27-3471,C,Marrakech,Member,Female,Sports and travel,16.97,5,89.09,02/10/2019,Cash,5.4,Normal,Petit acheteur
750044-36-7883,A,Casablanca,Normal,Male,Fashion accessories,29.25,7,214.99,03/01/2019,Credit card,6.4,Normal,Petit acheteur
750045-79-4613,B,Rabat,Member,Female,Sports and travel,10.53,6,66.34,02/23/2019,Cash,5.8,Normal,Petit acheteur
750046-69-3091,B,Rabat,Member,Female,Sports and travel,53.7,7,394.7,02/21/2019,Credit card,6.0,Normal,Petit acheteur
750047-16-5262,C,Marrakech,Member,Female,Food and beverages,60.79,80,5106.36,01/18/2019,Cash,4.5,Anomalie,Gros acheteur
750048-12-9837,B,Rabat,Normal,Male,Sports and travel,39.41,7,289.66,02/02/2019,Cash,5.7,Normal,Petit acheteur
750049-29-4908,A,Casablanca,Normal,Male,Fashion accessories,16.17,1,16.98,01/26/2019,Ewallet,8.5,Normal,Petit acheteur
750050-24-3683,A,Casablanca,Normal,Male,Food and beverages,95.29,8,800.44,01/22/2019,Cash,8.2,Normal,Acheteur moyen
750051-98-4978,B,Rabat,Member,Male,Home and lifestyle,61.82,7,454.38,01/26/2019,Credit card,6.4,Normal,Acheteur moyen
750052-92-6590,A,Casablanca,Normal,Male,Food and beverages,80.43,6,506.71,02/17/2019,Credit card,7.2,Normal,Acheteur moyen
750053-76-5425,A,Casablanca,Normal,Female,Health and beauty,49.01,6,308.76,01/20/2019,Cash,7.8,Normal,Petit acheteur
750054-67-4995,C,Marrakech,Normal,Female,Sports and travel,84.31,10,885.25,01/12/2019,Ewallet,5.6,Normal,Acheteur moyen
750055-45-5526,B,Rabat,Normal,Female,Health and beauty,54.48,6,343.22,02/15/2019,Ewallet,5.1,Normal,Petit acheteur
750056-72-8342,C,Marrakech,Member,Male,Health and beauty,31.72,7,233.14,03/30/2019,Ewallet,6.9,Normal,Petit acheteur
750057-77-6632,A,Casablanca,Member,Female,Electronic accessories,46.39,4,194.84,02/17/2019,Credit card,5.8,Normal,Petit acheteur
750058-78-4033,B,Rabat,Normal,Female,Fashion accessories,50.83,5,266.86,01/25/2019,Ewallet,5.5,Normal,Petit acheteur
750059-56-3939,A,Casablanca,Member,Female,Home and lifestyle,75.21,9,710.73,01/25/2019,Ewallet,7.6,Normal,Acheteur moyen
750060-72-2680,B,Rabat,Member,Male,Home and lifestyle,14.1,1,14.8,01/17/2019,Credit card,7.3,Anomalie,Petit acheteur
750061-18-7565,A,Casablanca,Normal,Female,Sports and travel,49.64,3,156.37,03/03/2019,Cash,9.8,Normal,Petit acheteur
750062-63-4697,B,Rabat,Member,Male,Electronic accessories,23.43,10,246.02,02/01/2019,Ewallet,9.7,Normal,Petit acheteur
750063-88-2625,C,Marrakech,Normal,Female,Sports and travel,36.76,10,385.98,03/14/2019,Cash,9.9,Normal,Petit acheteur
750064-67-8699,A,Casablanca,Member,Female,Fashion accessories,17.31,4,72.7,01/21/2019,Ewallet,5.0,Normal,Petit acheteur
750065-94-4241,B,Rabat,Member,Male,Home and lifestyle,73.62,8,618.41,02/03/2019,Ewallet,4.4,Normal,Acheteur moyen
750066-49-5728,B,Rabat,Member,Male,Fashion accessories,23.41,5,122.9,01/08/2019,Ewallet,9.0,Normal,Petit acheteur
750067-20-1653,B,Rabat,Member,Female,Fashion accessories,37.37,7,274.67,03/11/2019,Credit card,9.7,Normal,Petit acheteur
750068-15-3870,B,Rabat,Normal,Female,Health and beauty,18.22,10,191.31,03/28/2019,Ewallet,7.5,Normal,Petit acheteur
750069-62-6460,B,Rabat,Normal,Female,Electronic accessories,99.72,7,732.94,01/12/2019,Cash,7.8,Anomalie,Acheteur moyen
750070-21-6153,B,Rabat,Member,Male,Home and lifestyle,47.04,8,395.14,03/12/2019,Cash,5.7,Normal,Petit acheteur
750071-34-9494,B,Rabat,Normal,Male,Sports and travel,87.83,1,92.22,03/01/2019,Credit card,7.9,Anomalie,Petit acheteur
750072-13-4920,B,Rabat,Normal,Female,Health and beauty,28.32,9,267.62,02/26/2019,Cash,4.8,Normal,Petit acheteur
750073-29-9165,C,Marrakech,Member,Female,Food and beverages,11.23,7,82.54,03/01/2019,Ewallet,4.6,Normal,Petit acheteur
750074-86-9327,C,Marrakech,Normal,Female,Sports and travel,85.12,8,715.01,01/19/2019,Credit card,5.5,Normal,Acheteur moyen
750075-48-9022,C,Marrakech,Member,Male,Home and lifestyle,79.53,7,584.55,02/04/2019,Credit card,6.0,Normal,Acheteur moyen
750076-59-4826,A,Casablanca,Normal,Female,Home and lifestyle,39.92,9,377.24,01/25/2019,Cash,6.3,Normal,Petit acheteur
750077-14-3068,B,Rabat,Member,Female,Fashion accessories,52.56,7,386.32,03/25/2019,Credit card,6.3,Normal,Petit acheteur
750078-19-8692,C,Marrakech,Normal,Male,Sports and travel,18.97,8,159.35,02/22/2019,Ewallet,4.1,Normal,Petit acheteur
750079-72-9864,B,Rabat,Normal,Female,Fashion accessories,17.23,6,108.55,02/18/2019,Credit card,9.1,Normal,Petit acheteur
750080-91-2646,A,Casablanca,Member,Male,Fashion accessories,71.59,5,375.85,01/12/2019,Credit card,10.0,Normal,Petit acheteur
750081-77-7751,B,Rabat,Member,Female,Health and beauty,14.14,1,14.85,02/25/2019,Cash,5.8,Anomalie,Petit acheteur
750082-39-8555,C,Marrakech,Member,Male,Electronic accessories,17.11,7,125.76,03/05/2019,Ewallet,7.7,Normal,Petit acheteur
750083-66-6661,C,Marrakech,Normal,Female,Home and lifestyle,70.01,8,588.08,03/11/2019,Credit card,9.4,Normal,Acheteur moyen
750084-58-6881,C,Marrakech,Normal,Female,Fashion accessories,32.51,5,170.68,03/03/2019,Cash,5.2,Normal,Petit acheteur
750085-87-9138,C,Marrakech,Normal,Female,Health and beauty,98.01,7,720.37,03/29/2019,Credit card,5.6,Normal,Acheteur moyen
750086-27-2591,B,Rabat,Member,Female,Electronic accessories,67.29,10,706.55,03/26/2019,Credit card,5.5,Normal,Acheteur moyen
750087-63-3877,C,Marrakech,Member,Female,Sports and travel,13.0,6,81.9,02/07/2019,Ewallet,8.4,Normal,Petit acheteur
750088-53-2886,A,Casablanca,Member,Female,Food and beverages,55.16,5,289.59,03/03/2019,Cash,9.0,Normal,Petit acheteur
750089-60-1228,B,Rabat,Member,Male,Electronic accessories,87.4,7,642.39,02/16/2019,Credit card,9.8,Normal,Acheteur moyen
750090-39-8724,B,Rabat,Member,Female,Home and lifestyle,70.55,5,370.39,02/17/2019,Credit card,7.5,Normal,Petit acheteur
750091-27-1742,A,Casablanca,Normal,Male,Fashion accessories,15.69,8,131.8,03/25/2019,Cash,9.5,Normal,Petit acheteur
750092-99-9850,A,Casablanca,Normal,Female,Health and beauty,18.75,9,177.19,02/17/2019,Cash,4.8,Normal,Petit acheteur
750093-66-8285,B,Rabat,Member,Female,Fashion accessories,18.91,8,158.84,01/05/2019,Cash,7.7,Normal,Petit acheteur
750094-68-2501,A,Casablanca,Normal,Male,Fashion accessories,43.06,6,271.28,01/25/2019,Cash,4.4,Normal,Petit acheteur
750095-80-4394,C,Marrakech,Member,Male,Health and beauty,80.8,4,339.36,01/27/2019,Credit card,9.9,Normal,Petit acheteur
750096-32-2801,C,Marrakech,Member,Male,Home and lifestyle,79.69,10,836.75,01/17/2019,Ewallet,4.0,Normal,Acheteur moyen
750097-26-7897,C,Marrakech,Member,Male,Health and beauty,42.24,4,177.41,01/23/2019,Ewallet,7.5,Normal,Petit acheteur
750098-88-1710,C,Marrakech,Member,Male,Sports and travel,50.34,6,317.14,02/27/2019,Ewallet,7.1,Normal,Petit acheteur
750099-72-8267,C,Marrakech,Normal,Female,Fashion accessories,96.75,1,101.59,02/24/2019,Cash,10.0,Anomalie,Petit acheteur
750100-51-7240,A,Casablanca,Member,Female,Food and beverages,23.35,3,73.55,03/16/2019,Credit card,5.7,Normal,Petit acheteur
750101-80-4522,C,Marrakech,Normal,Female,Food and beverages,64.48,2,135.41,03/25/2019,Ewallet,8.8,Normal,Petit acheteur
750102-50-5176,B,Rabat,Normal,Male,Sports and travel,40.5,8,340.2,01/13/2019,Credit card,6.4,Normal,Petit acheteur
750103-17-6400,B,Rabat,Member,Female,Health and beauty,18.21,2,38.24,02/17/2019,Ewallet,4.6,Normal,Petit acheteur
750104-49-6761,C,Marrakech,Member,Female,Home and lifestyle,88.62,7,651.36,01/07/2019,Credit card,9.2,Normal,Acheteur moyen
750105-45-4705,A,Casablanca,Member,Male,Fashion accessories,53.39,2,112.12,02/17/2019,Credit card,6.1,Normal,Petit acheteur
750106-28-7566,B,Rabat,Member,Female,Health and beauty,26.24,5,137.76,01/01/2019,Cash,9.5,Normal,Petit acheteur
750107-49-6314,A,Casablanca,Member,Male,Health and beauty,77.14,4,323.99,02/13/2019,Cash,6.3,Normal,Petit acheteur
750108-64-8957,C,Marrakech,Member,Male,Electronic accessories,24.17,10,253.79,02/04/2019,Ewallet,4.3,Normal,Petit acheteur
750109-96-8972,C,Marrakech,Normal,Female,Home and lifestyle,29.4,9,277.83,01/15/2019,Cash,4.7,Normal,Petit acheteur
750110-27-5186,C,Marrakech,Normal,Male,Electronic accessories,45.57,10,478.49,02/08/2019,Ewallet,4.3,Anomalie,Acheteur moyen
750111-81-6802,B,Rabat,Normal,Male,Health and beauty,54.76,7,402.49,03/10/2019,Cash,5.1,Normal,Petit acheteur
750112-91-7843,A,Casablanca,Normal,Male,Sports and travel,11.69,2,24.55,02/24/2019,Credit card,9.2,Normal,Petit acheteur
750113-65-2734,B,Rabat,Member,Female,Health and beauty,96.95,3,305.39,02/28/2019,Credit card,8.8,Normal,Petit acheteur
750114-75-2868,A,Casablanca,Normal,Female,Food and beverages,17.08,5,89.67,02/12/2019,Ewallet,8.5,Normal,Petit acheteur
750115-87-3504,C,Marrakech,Member,Female,Home and lifestyle,75.46,3,237.7,02/02/2019,Ewallet,5.4,Normal,Petit acheteur
750116-91-6295,C,Marrakech,Member,Male,Fashion accessories,54.47,10,571.94,03/29/2019,Cash,8.6,Normal,Acheteur moyen
750117-74-2215,C,Marrakech,Normal,Male,Sports and travel,16.15,8,135.66,03/17/2019,Cash,7.8,Normal,Petit acheteur
750118-59-8581,B,Rabat,Normal,Female,Health and beauty,15.12,5,79.38,03/20/2019,Ewallet,4.5,Normal,Petit acheteur
750119-23-6626,C,Marrakech,Member,Female,Food and beverages,68.66,6,432.56,01/20/2019,Credit card,7.6,Normal,Acheteur moyen
750120-56-7108,C,Marrakech,Member,Male,Health and beauty,32.29,8,271.24,03/08/2019,Credit card,9.9,Normal,Petit acheteur
750121-22-7333,B,Rabat,Normal,Female,Home and lifestyle,71.09,1,74.64,02/12/2019,Credit card,8.7,Normal,Petit acheteur
750122-26-2388,B,Rabat,Normal,Male,Home and lifestyle,17.33,3,54.59,03/25/2019,Cash,9.5,Normal,Petit acheteur
750123-12-6940,B,Rabat,Normal,Female,Electronic accessories,70.3,9,664.33,02/24/2019,Credit card,4.6,Normal,Acheteur moyen
750124-22-9317,B,Rabat,Member,Male,Home and lifestyle,95.28,8,800.35,01/20/2019,Ewallet,5.2,Normal,Acheteur moyen
750125-31-8170,C,Marrakech,Member,Female,Food and beverages,21.79,7,160.16,03/30/2019,Ewallet,4.9,Normal,Petit acheteur
750126-40-6070,A,Casablanca,Normal,Female,Fashion accessories,74.76,8,627.98,02/27/2019,Credit card,7.7,Normal,Acheteur moyen
750127-63-3655,B,Rabat,Member,Female,Fashion accessories,95.23,8,799.93,02/18/2019,Cash,6.8,Normal,Acheteur moyen
750128-20-3626,A,Casablanca,Member,Female,Health and beauty,67.7,6,426.51,03/08/2019,Ewallet,7.3,Normal,Acheteur moyen
750129-60-9224,B,Rabat,Normal,Male,Sports and travel,18.25,4,76.65,01/04/2019,Cash,8.9,Normal,Petit acheteur
750130-28-3254,B,Rabat,Member,Female,Health and beauty,43.74,1,45.93,03/25/2019,Ewallet,5.9,Normal,Petit acheteur
750131-37-3449,A,Casablanca,Normal,Female,Fashion accessories,84.79,8,712.24,01/11/2019,Ewallet,6.7,Normal,Acheteur moyen
750132-18-2816,C,Marrakech,Normal,Male,Home and lifestyle,31.39,2,65.92,03/23/2019,Cash,4.3,Normal,Petit acheteur
750133-33-2402,B,Rabat,Member,Male,Fashion accessories,22.92,7,168.46,01/31/2019,Cash,4.0,Normal,Petit acheteur
750134-59-7116,C,Marrakech,Normal,Male,Food and beverages,58.96,9,557.17,03/02/2019,Cash,7.3,Normal,Acheteur moyen
750135-55-9945,B,Rabat,Member,Female,Health and beauty,41.03,2,86.16,02/12/2019,Credit card,8.6,Normal,Petit acheteur
750136-35-1717,B,Rabat,Member,Female,Fashion accessories,53.06,3,167.14,02/28/2019,Ewallet,8.9,Normal,Petit acheteur
750137-55-1783,A,Casablanca,Member,Female,Home and lifestyle,56.38,9,532.79,03/24/2019,Ewallet,6.8,Normal,Acheteur moyen
750138-33-9129,C,Marrakech,Normal,Female,Health and beauty,81.93,7,602.19,02/26/2019,Credit card,9.3,Normal,Acheteur moyen
750139-33-9937,C,Marrakech,Normal,Female,Food and beverages,34.0,2,71.4,02/25/2019,Ewallet,8.4,Normal,Petit acheteur
750140-66-6759,B,Rabat,Normal,Male,Health and beauty,39.51,5,207.43,02/24/2019,Credit card,5.8,Normal,Petit acheteur
750141-61-6952,B,Rabat,Member,Female,Food and beverages,99.82,5,524.05,01/10/2019,Ewallet,7.8,Anomalie,Acheteur moyen
750142-56-7272,C,Marrakech,Member,Male,Electronic accessories,86.37,8,725.51,01/31/2019,Ewallet,4.2,Normal,Acheteur moyen
750143-56-7521,C,Marrakech,Member,Male,Fashion accessories,50.49,6,318.09,03/15/2019,Ewallet,6.2,Normal,Petit acheteur
750144-43-8311,B,Rabat,Normal,Male,Health and beauty,12.33,3,38.84,03/13/2019,Cash,7.0,Normal,Petit acheteur
750145-97-6236,A,Casablanca,Normal,Female,Electronic accessories,21.04,2,44.18,02/26/2019,Credit card,6.7,Normal,Petit acheteur
750146-56-9335,C,Marrakech,Normal,Male,Food and beverages,58.79,5,308.65,03/31/2019,Credit card,9.1,Normal,Petit acheteur
750147-80-3126,A,Casablanca,Member,Male,Electronic accessories,31.3,8,262.92,03/15/2019,Credit card,4.2,Normal,Petit acheteur
750148-50-2215,C,Marrakech,Member,Male,Home and lifestyle,45.83,8,384.97,03/15/2019,Cash,7.2,Normal,Petit acheteur
750149-17-3034,B,Rabat,Normal,Female,Electronic accessories,89.01,9,841.14,01/17/2019,Ewallet,7.8,Normal,Acheteur moyen
750150-35-5496,C,Marrakech,Member,Female,Electronic accessories,24.58,4,103.24,02/06/2019,Credit card,6.1,Normal,Petit acheteur
750151-87-6531,A,Casablanca,Normal,Male,Food and beverages,67.68,10,710.64,01/22/2019,Ewallet,9.6,Normal,Acheteur moyen
750152-91-1496,C,Marrakech,Member,Male,Health and beauty,14.09,10,147.94,03/15/2019,Ewallet,5.6,Normal,Petit acheteur
750153-66-7809,B,Rabat,Normal,Female,Sports and travel,32.04,7,235.49,03/30/2019,Ewallet,5.8,Normal,Petit acheteur
750154-57-9437,B,Rabat,Normal,Male,Home and lifestyle,64.59,6,406.92,02/14/2019,Cash,9.2,Normal,Petit acheteur
750155-59-7850,C,Marrakech,Member,Female,Electronic accessories,51.98,5,272.89,01/13/2019,Ewallet,6.7,Normal,Petit acheteur
750156-49-9148,A,Casablanca,Member,Female,Food and beverages,74.89,4,314.54,03/07/2019,Cash,8.6,Normal,Petit acheteur
750157-73-8710,A,Casablanca,Member,Female,Food and beverages,51.15,4,214.83,01/07/2019,Cash,5.3,Normal,Petit acheteur
750158-16-4189,B,Rabat,Member,Male,Sports and travel,22.05,5,115.76,02/16/2019,Cash,8.4,Normal,Petit acheteur
750159-26-2584,B,Rabat,Normal,Male,Sports and travel,55.38,9,523.34,03/29/2019,Credit card,5.7,Normal,Acheteur moyen
750160-15-1637,B,Rabat,Normal,Female,Food and beverages,94.5,3,297.68,02/21/2019,Credit card,5.2,Normal,Petit acheteur
750161-30-7438,A,Casablanca,Normal,Female,Food and beverages,51.12,10,536.76,02/11/2019,Ewallet,9.4,Normal,Acheteur moyen
750162-12-7035,C,Marrakech,Normal,Female,Food and beverages,84.54,9,798.9,02/08/2019,Credit card,6.9,Normal,Acheteur moyen
750163-39-1841,B,Rabat,Member,Female,Food and beverages,37.69,1,39.57,03/25/2019,Cash,7.6,Normal,Petit acheteur
750164-14-2800,C,Marrakech,Normal,Male,Food and beverages,66.61,10,699.4,01/19/2019,Cash,8.6,Normal,Acheteur moyen
750165-70-2020,A,Casablanca,Member,Female,Home and lifestyle,47.69,7,350.52,03/06/2019,Cash,8.1,Normal,Petit acheteur
750166-78-6608,C,Marrakech,Member,Male,Food and beverages,39.25,8,329.7,01/23/2019,Cash,7.2,Normal,Petit acheteur
750167-46-4396,C,Marrakech,Normal,Female,Food and beverages,53.57,4,224.99,01/29/2019,Cash,5.7,Normal,Petit acheteur
750168-60-6654,C,Marrakech,Normal,Female,Sports and travel,41.39,5,217.3,03/28/2019,Credit card,5.7,Normal,Petit acheteur
750169-71-4505,A,Casablanca,Normal,Male,Home and lifestyle,95.97,2,201.54,03/25/2019,Cash,6.1,Normal,Petit acheteur
750170-91-4814,A,Casablanca,Normal,Female,Electronic accessories,19.83,10,208.21,03/27/2019,Ewallet,5.4,Normal,Petit acheteur
750171-30-7666,A,Casablanca,Member,Female,Home and lifestyle,74.56,2,156.58,01/01/2019,Ewallet,8.1,Normal,Petit acheteur
750172-83-4804,C,Marrakech,Normal,Female,Fashion accessories,27.95,5,146.74,01/08/2019,Credit card,5.9,Normal,Petit acheteur
750173-47-1613,C,Marrakech,Member,Male,Sports and travel,89.39,3,281.58,02/20/2019,Ewallet,9.6,Normal,Petit acheteur
750174-34-2845,A,Casablanca,Normal,Male,Home and lifestyle,35.61,9,336.51,03/06/2019,Ewallet,7.1,Normal,Petit acheteur
750175-34-3875,B,Rabat,Member,Female,Fashion accessories,33.15,3,104.42,02/07/2019,Cash,4.1,Normal,Petit acheteur
750176-41-1111,C,Marrakech,Normal,Female,Food and beverages,39.51,7,290.4,01/18/2019,Ewallet,8.0,Normal,Petit acheteur
750177-93-6890,B,Rabat,Normal,Male,Sports and travel,77.83,6,490.33,03/15/2019,Credit card,5.8,Normal,Acheteur moyen
750178-25-5833,C,Marrakech,Member,Male,Fashion accessories,20.64,5,108.36,03/06/2019,Credit card,5.0,Normal,Petit acheteur
750179-80-8714,B,Rabat,Member,Male,Electronic accessories,53.03,8,445.45,02/17/2019,Credit card,8.5,Normal,Acheteur moyen
750180-82-2838,C,Marrakech,Member,Male,Fashion accessories,77.92,2,163.63,02/16/2019,Credit card,7.2,Normal,Petit acheteur
750181-21-9361,A,Casablanca,Member,Male,Electronic accessories,39.53,9,373.56,01/27/2019,Credit card,6.7,Normal,Petit acheteur
750182-49-1356,B,Rabat,Member,Female,Electronic accessories,56.19,8,472.0,03/01/2019,Credit card,7.4,Normal,Acheteur moyen
750183-17-2130,B,Rabat,Normal,Male,Fashion accessories,29.61,2,62.18,03/31/2019,Cash,4.3,Normal,Petit acheteur
750184-58-8348,B,Rabat,Member,Female,Sports and travel,26.2,3,82.53,03/24/2019,Credit card,8.6,Normal,Petit acheteur
750185-60-9664,B,Rabat,Normal,Male,Fashion accessories,96.76,9,914.38,01/16/2019,Cash,4.8,Normal,Acheteur moyen
750186-39-5055,A,Casablanca,Member,Male,Health and beauty,98.05,8,823.62,02/24/2019,Credit card,8.0,Normal,Acheteur moyen
750187-12-4943,B,Rabat,Normal,Male,Home and lifestyle,26.96,2,56.62,02/23/2019,Credit card,4.2,Normal,Petit acheteur
750188-66-4839,A,Casablanca,Member,Male,Food and beverages,13.02,10,136.71,02/01/2019,Ewallet,8.0,Normal,Petit acheteur
750189-86-6253,C,Marrakech,Member,Male,Electronic accessories,55.35,5,290.59,03/15/2019,Credit card,5.4,Normal,Petit acheteur
750190-32-7999,A,Casablanca,Normal,Male,Fashion accessories,56.91,7,418.29,03/13/2019,Ewallet,5.8,Normal,Acheteur moyen
750191-29-5913,C,Marrakech,Normal,Male,Home and lifestyle,94.73,7,696.27,03/31/2019,Cash,8.7,Normal,Acheteur moyen
750192-62-7824,B,Rabat,Member,Female,Electronic accessories,86.43,5,453.76,03/01/2019,Ewallet,9.1,Normal,Acheteur moyen
750193-34-1844,C,Marrakech,Member,Female,Electronic accessories,32.95,6,207.59,02/17/2019,Cash,7.9,Normal,Petit acheteur
750194-52-5967,B,Rabat,Normal,Male,Health and beauty,26.93,10,282.76,01/28/2019,Credit card,8.3,Normal,Petit acheteur
750195-40-6269,A,Casablanca,Member,Male,Fashion accessories,20.56,8,172.7,03/19/2019,Credit card,9.5,Normal,Petit acheteur
750196-70-6246,B,Rabat,Normal,Female,Food and beverages,68.38,5,359.0,03/05/2019,Credit card,5.6,Normal,Petit acheteur
750197-84-7841,A,Casablanca,Normal,Female,Sports and travel,14.11,4,59.26,02/03/2019,Ewallet,8.4,Normal,Petit acheteur
750198-53-5216,B,Rabat,Member,Male,Home and lifestyle,30.7,10,322.35,03/12/2019,Cash,9.0,Normal,Petit acheteur
750199-79-1962,B,Rabat,Normal,Female,Electronic accessories,75.94,6,478.42,03/11/2019,Credit card,5.0,Normal,Acheteur moyen
750200-29-1149,C,Marrakech,Member,Male,Fashion accessories,14.37,1,15.09,01/30/2019,Credit card,6.5,Anomalie,Petit acheteur
750201-78-7739,A,Casablanca,Normal,Female,Health and beauty,65.6,10,688.8,03/04/2019,Credit card,9.5,Normal,Acheteur moyen
750202-32-2753,A,Casablanca,Member,Female,Food and beverages,97.96,1,102.86,03/28/2019,Credit card,7.0,Anomalie,Petit acheteur
