Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
750023-68-6180,B,Rabat,Normal,Male,Fashion accessories,74.45,4,14.89,312.69,03/27/2019,20:19,Ewallet,297.8,4.761904762,14.89,5.6
750024-54-2127,A,Casablanca,Member,Female,Food and beverages,99.85,2,9.985,209.69,03/06/2019,14:08,Ewallet,199.7,4.761904762,9.985,4.4
750025-95-5905,A,Casablanca,Normal,Female,Electronic accessories,49.43,9,22.2435,467.11,03/25/2019,18:00,Credit card,444.87,4.761904762,22.2435,8.2
750026-36-6617,C,Marrakech,Member,Male,Home and lifestyle,20.39,2,2.039,42.82,02/04/2019,14:38,Ewallet,40.78,4.761904762,2.039,8.5
750027-52-3143,A,Casablanca,Normal,Female,Home and lifestyle,91.47,1,4.5735,96.04,02/05/2019,10:00,Cash,91.47,4.761904762,4.5735,4.6
750028-14-7049,C,Marrakech,Normal,Male,Fashion accessories,49.76,7,17.416,365.74,01/10/2019,12:34,Ewallet,348.32,4.761904762,17.416,7.4
750029-41-2684,C,Marrakech,Member,Female,Electronic accessories,13.76,6,4.128,86.69,02/15/2019,13:43,Ewallet,82.56,4.761904762,4.128,9.4
750030-62-5065,B,Rabat,Normal,Male,Electronic accessories,87.81,3,13.1715,276.6,01/23/2019,15:50,Ewallet,263.43,4.761904762,13.1715,9.3
750031-39-4652,B,Rabat,Member,Male,Sports and travel,88.49,8,35.396,743.32,02/14/2019,14:52,Cash,707.92,4.761904762,35.396,5.3
750032-61-9785,A,Casablanca,Member,Female,Home and lifestyle,35.07,2,3.507,73.65,02/14/2019,20:32,Cash,70.14,4.761904762,3.507,9.8
750033-50-8149,B,Rabat,Member,Male,Home and lifestyle,26.07,5,6.5175,136.87,02/25/2019,15:46,Credit card,130.35,4.761904762,6.5175,4.2
750034-95-4228,C,Marrakech,Member,Female,Food and beverages,27.11,1,1.3555,28.47,03/08/2019,18:43,Ewallet,27.11,4.761904762,1.3555,8.3
750035-95-7691,B,Rabat,Normal,Male,Fashion accessories,92.86,10,46.43,975.03,02/08/2019,18:19,Ewallet,928.6,4.761904762,46.43,5.9
750036-82-5930,B,Rabat,Normal,Female,Food and beverages,21.45,7,7.5075,157.66,03/28/2019,12:39,Cash,150.15,4.761904762,7.5075,8.0
750037-96-4501,B,Rabat,Member,Female,Home and lifestyle,28.91,10,14.455,303.56,03/01/2019,17:28,Cash,289.1,4.761904762,14.455,7.6
750038-40-6085,C,Marrakech,Normal,Male,Fashion accessories,17.63,9,7.9335,166.6,02/12/2019,11:52,Credit card,158.67,4.761904762,7.9335,8.0
750039-90-4185,A,Casablanca,Member,Male,Health and beauty,14.16,8,5.664,118.94,02/28/2019,16:56,Ewallet,113.28,4.761904762,5.664,7.7
750040-99-9486,C,Marrakech,Normal,Female,Sports and travel,31.96,1,1.598,33.56,02/24/2019,13:11,Ewallet,31.96,4.761904762,1.598,9.4
750041-66-9270,B,Rabat,Member,Male,Health and beauty,51.08,8,20.432,429.07,03/18/2019,15:48,Credit card,408.64,4.761904762,20.432,8.0
750042-76-8939,B,Rabat,Normal,Male,Fashion accessories,87.53,8,35.012,735.25,03/23/2019,14:49,Ewallet,700.24,4.761904762,35.012,5.6
750043-27-3471,C,Marrakech,Member,Female,Sports and travel,16.97,5,4.2425,89.09,02/10/2019,18:05,Cash,84.85,4.761904762,4.2425,5.4
750044-36-7883,A,Casablanca,Normal,Male,Fashion accessories,29.25,7,10.2375,214.99,03/01/2019,16:03,Credit card,204.75,4.761904762,10.2375,6.4
750045-79-4613,B,Rabat,Member,Female,Sports and travel,10.53,6,3.159,66.34,02/23/2019,18:47,Cash,63.18,4.761904762,3.159,5.8
750046-69-3091,B,Rabat,Member,Female,Sports and travel,53.7,7,18.795,394.7,02/21/2019,12:53,Credit card,375.9,4.761904762,18.795,6.0
750047-16-5262,C,Marrakech,Member,Female,Food and beverages,60.79,80,243.16,5106.36,01/18/2019,17:11,Cash,4863.2,4.761904762,243.16,4.5
750048-12-9837,B,Rabat,Normal,Male,Sports and travel,39.41,7,13.7935,289.66,02/02/2019,11:30,Cash,275.87,4.761904762,13.7935,5.7
750049-29-4908,A,Casablanca,Normal,Male,Fashion accessories,16.17,1,0.8085,16.98,01/26/2019,10:39,Ewallet,16.17,4.761904762,0.8085,8.5
750050-24-3683,A,Casablanca,Normal,Male,Food and beverages,95.29,8,38.116,800.44,01/22/2019,19:38,Cash,762.32,4.761904762,38.116,8.2
750051-98-4978,B,Rabat,Member,Male,Home and lifestyle,61.82,7,21.637,454.38,01/26/2019,11:37,Credit card,432.74,4.761904762,21.637,6.4
750052-92-6590,A,Casablanca,Normal,Male,Food and beverages,80.43,6,24.129,506.71,02/17/2019,11:32,Credit card,482.58,4.761904762,24.129,7.2
750053-76-5425,A,Casablanca,Normal,Female,Health and beauty,49.01,6,14.703,308.76,01/20/2019,16:11,Cash,294.06,4.761904762,14.703,7.8
750054-67-4995,C,Marrakech,Normal,Female,Sports and travel,84.31,10,42.155,885.25,01/12/2019,14:56,Ewallet,843.1,4.761904762,42.155,5.6
750055-45-5526,B,Rabat,Normal,Female,Health and beauty,54.48,6,16.344,343.22,02/15/2019,14:21,Ewallet,326.88,4.761904762,16.344,5.1
750056-72-8342,C,Marrakech,Member,Male,Health and beauty,31.72,7,11.102,233.14,03/30/2019,17:41,Ewallet,222.04,4.761904762,11.102,6.9
750057-77-6632,A,Casablanca,Member,Female,Electronic accessories,46.39,4,9.278,194.84,02/17/2019,17:35,Credit card,185.56,4.761904762,9.278,5.8
750058-78-4033,B,Rabat,Normal,Female,Fashion accessories,50.83,5,12.7075,266.86,01/25/2019,15:07,Ewallet,254.15,4.761904762,12.7075,5.5
750059-56-3939,A,Casablanca,Member,Female,Home and lifestyle,75.21,9,33.8445,710.73,01/25/2019,14:14,Ewallet,676.89,4.761904762,33.8445,7.6
750060-72-2680,B,Rabat,Member,Male,Home and lifestyle,14.1,1,0.705,14.8,01/17/2019,20:55,Credit card,14.1,4.761904762,0.705,7.3
750061-18-7565,A,Casablanca,Normal,Female,Sports and travel,49.64,3,7.446,156.37,03/03/2019,11:52,Cash,148.92,4.761904762,7.446,9.8
750062-63-4697,B,Rabat,Member,Male,Electronic accessories,23.43,10,11.715,246.02,02/01/2019,11:35,Ewallet,234.3,4.761904762,11.715,9.7
750063-88-2625,C,Marrakech,Normal,Female,Sports and travel,36.76,10,18.38,385.98,03/14/2019,19:03,Cash,367.6,4.761904762,18.38,9.9
750064-67-8699,A,Casablanca,Member,Female,Fashion accessories,17.31,4,3.462,72.7,01/21/2019,10:26,Ewallet,69.24,4.761904762,3.462,5.0
750065-94-4241,B,Rabat,Member,Male,Home and lifestyle,73.62,8,29.448,618.41,02/03/2019,20:37,Ewallet,588.96,4.761904762,29.448,4.4
750066-49-5728,B,Rabat,Member,Male,Fashion accessories,23.41,5,5.8525,122.9,01/08/2019,12:50,Ewallet,117.05,4.761904762,5.8525,9.0
750067-20-1653,B,Rabat,Member,Female,Fashion accessories,37.37,7,13.0795,274.67,03/11/2019,17:28,Credit card,261.59,4.761904762,13.0795,9.7
750068-15-3870,B,Rabat,Normal,Female,Health and beauty,18.22,10,9.11,191.31,03/28/2019,14:36,Ewallet,182.2,4.761904762,9.11,7.5
750069-62-6460,B,Rabat,Normal,Female,Electronic accessories,99.72,7,34.902,732.94,01/12/2019,17:22,Cash,698.04,4.761904762,34.902,7.8
750070-21-6153,B,Rabat,Member,Male,Home and lifestyle,47.04,8,18.816,395.14,03/12/2019,10:29,Cash,376.32,4.761904762,18.816,5.7
750071-34-9494,B,Rabat,Normal,Male,Sports and travel,87.83,1,4.3915,92.22,03/01/2019,16:03,Credit card,87.83,4.761904762,4.3915,7.9
750072-13-4920,B,Rabat,Normal,Female,Health and beauty,28.32,9,12.744,267.62,02/26/2019,17:07,Cash,254.88,4.761904762,12.744,4.8
750073-29-9165,C,Marrakech,Member,Female,Food and beverages,11.23,7,3.9305,82.54,03/01/2019,11:41,Ewallet,78.61,4.761904762,3.9305,4.6
750074-86-9327,C,Marrakech,Normal,Female,Sports and travel,85.12,8,34.048,715.01,01/19/2019,16:12,Credit card,680.96,4.761904762,34.048,5.5
750075-48-9022,C,Marrakech,Member,Male,Home and lifestyle,79.53,7,27.8355,584.55,02/04/2019,10:18,Credit card,556.71,4.761904762,27.8355,6.0
750076-59-4826,A,Casablanca,Normal,Female,Home and lifestyle,39.92,9,17.964,377.24,01/25/2019,13:36,Cash,359.28,4.761904762,17.964,6.3
750077-14-3068,B,Rabat,Member,Female,Fashion accessories,52.56,7,18.396,386.32,03/25/2019,12:31,Credit card,367.92,4.761904762,18.396,6.3
750078-19-8692,C,Marrakech,Normal,Male,Sports and travel,18.97,8,7.588,159.35,02/22/2019,20:09,Ewallet,151.76,4.761904762,7.588,4.1
750079-72-9864,B,Rabat,Normal,Female,Fashion accessories,17.23,6,5.169,108.55,02/18/2019,15:40,Credit card,103.38,4.761904762,5.169,9.1
750080-91-2646,A,Casablanca,Member,Male,Fashion accessories,71.59,5,17.8975,375.85,01/12/2019,16:06,Credit card,357.95,4.761904762,17.8975,10.0
750081-77-7751,B,Rabat,Member,Female,Health and beauty,14.14,1,0.707,14.85,02/25/2019,12:15,Cash,14.14,4.761904762,0.707,5.8
750082-39-8555,C,Marrakech,Member,Male,Electronic accessories,17.11,7,5.9885,125.76,03/05/2019,19:09,Ewallet,119.77,4.761904762,5.9885,7.7
750083-66-6661,C,Marrakech,Normal,Female,Home and lifestyle,70.01,8,28.004,588.08,03/11/2019,12:04,Credit card,560.08,4.761904762,28.004,9.4
750084-58-6881,C,Marrakech,Normal,Female,Fashion accessories,32.51,5,8.1275,170.68,03/03/2019,11:15,Cash,162.55,4.761904762,8.1275,5.2
750085-87-9138,C,Marrakech,Normal,Female,Health and beauty,98.01,7,34.3035,720.37,03/29/2019,10:58,Credit card,686.07,4.761904762,34.3035,5.6
750086-27-2591,B,Rabat,Member,Female,Electronic accessories,67.29,10,33.645,706.55,03/26/2019,20:53,Credit card,672.9,4.761904762,33.645,5.5
750087-63-3877,C,Marrakech,Member,Female,Sports and travel,13.0,6,3.9,81.9,02/07/2019,15:47,Ewallet,78.0,4.761904762,3.9,8.4
750088-53-2886,A,Casablanca,Member,Female,Food and beverages,55.16,5,13.79,289.59,03/03/2019,14:47,Cash,275.8,4.761904762,13.79,9.0
750089-60-1228,B,Rabat,Member,Male,Electronic accessories,87.4,7,30.59,642.39,02/16/2019,11:50,Credit card,611.8,4.761904762,30.59,9.8
750090-39-8724,B,Rabat,Member,Female,Home and lifestyle,70.55,5,17.6375,370.39,02/17/2019,11:43,Credit card,352.75,4.761904762,17.6375,7.5
750091-27-1742,A,Casablanca,Normal,Male,Fashion accessories,15.69,8,6.276,131.8,03/25/2019,16:07,Cash,125.52,4.761904762,6.276,9.5
750092-99-9850,A,Casablanca,Normal,Female,Health and beauty,18.75,9,8.4375,177.19,02/17/2019,20:47,Cash,168.75,4.761904762,8.4375,4.8
750093-66-8285,B,Rabat,Member,Female,Fashion accessories,18.91,8,7.564,158.84,01/05/2019,15:13,Cash,151.28,4.761904762,7.564,7.7
750094-68-2501,A,Casablanca,Normal,Male,Fashion accessories,43.06,6,12.918,271.28,01/25/2019,11:54,Cash,258.36,4.761904762,12.918,4.4
750095-80-4394,C,Marrakech,Member,Male,Health and beauty,80.8,4,16.16,339.36,01/27/2019,11:53,Credit card,323.2,4.761904762,16.16,9.9
750096-32-2801,C,Marrakech,Member,Male,Home and lifestyle,79.69,10,39.845,836.75,01/17/2019,18:16,Ewallet,796.9,4.761904762,39.845,4.0
750097-26-7897,C,Marrakech,Member,Male,Health and beauty,42.24,4,8.448,177.41,01/23/2019,14:03,Ewallet,168.96,4.761904762,8.448,7.5
750098-88-1710,C,Marrakech,Member,Male,Sports and travel,50.34,6,15.102,317.14,02/27/2019,18:14,Ewallet,302.04,4.761904762,15.102,7.1
750099-72-8267,C,Marrakech,Normal,Female,Fashion accessories,96.75,1,4.8375,101.59,02/24/2019,20:06,Cash,96.75,4.761904762,4.8375,10.0
750100-51-7240,A,Casablanca,Member,Female,Food and beverages,23.35,3,3.5025,73.55,03/16/2019,18:45,Credit card,70.05,4.761904762,3.5025,5.7
750101-80-4522,C,Marrakech,Normal,Female,Food and beverages,64.48,2,6.448,135.41,03/25/2019,20:56,Ewallet,128.96,4.761904762,6.448,8.8
750102-50-5176,B,Rabat,Normal,Male,Sports and travel,40.5,8,16.2,340.2,01/13/2019,15:27,Credit card,324.0,4.761904762,16.2,6.4
750103-17-6400,B,Rabat,Member,Female,Health and beauty,18.21,2,1.821,38.24,02/17/2019,12:35,Ewallet,36.42,4.761904762,1.821,4.6
750104-49-6761,C,Marrakech,Member,Female,Home and lifestyle,88.62,7,31.017,651.36,01/07/2019,14:38,Credit card,620.34,4.761904762,31.017,9.2
750105-45-4705,A,Casablanca,Member,Male,Fashion accessories,53.39,2,5.339,112.12,02/17/2019,11:48,Credit card,106.78,4.761904762,5.339,6.1
750106-28-7566,B,Rabat,Member,Female,Health and beauty,26.24,5,6.56,137.76,01/01/2019,12:55,Cash,131.2,4.761904762,6.56,9.5
750107-49-6314,A,Casablanca,Member,Male,Health and beauty,77.14,4,15.428,323.99,02/13/2019,12:23,Cash,308.56,4.761904762,15.428,6.3
750108-64-8957,C,Marrakech,Member,Male,Electronic accessories,24.17,10,12.085,253.79,02/04/2019,17:42,Ewallet,241.7,4.761904762,12.085,4.3
750109-96-8972,C,Marrakech,Normal,Female,Home and lifestyle,29.4,9,13.23,277.83,01/15/2019,14:43,Cash,264.6,4.761904762,13.23,4.7
750110-27-5186,C,Marrakech,Normal,Male,Electronic accessories,45.57,10,22.785,478.49,02/08/2019,13:49,Ewallet,455.7,4.761904762,22.785,4.3
750111-81-6802,B,Rabat,Normal,Male,Health and beauty,54.76,7,19.166,402.49,03/10/2019,13:32,Cash,383.32,4.761904762,19.166,5.1
750112-91-7843,A,Casablanca,Normal,Male,Sports and travel,11.69,2,1.169,24.55,02/24/2019,19:25,Credit card,23.38,4.761904762,1.169,9.2
750113-65-2734,B,Rabat,Member,Female,Health and beauty,96.95,3,14.5425,305.39,02/28/2019,15:05,Credit card,290.85,4.761904762,14.5425,8.8
750114-75-2868,A,Casablanca,Normal,Female,Food and beverages,17.08,5,4.27,89.67,02/12/2019,12:04,Ewallet,85.4,4.761904762,4.27,8.5
750115-87-3504,C,Marrakech,Member,Female,Home and lifestyle,75.46,3,11.319,237.7,02/02/2019,13:11,Ewallet,226.38,4.761904762,11.319,5.4
750116-91-6295,C,Marrakech,Member,Male,Fashion accessories,54.47,10,27.235,571.94,03/29/2019,19:41,Cash,544.7,4.761904762,27.235,8.6
750117-74-2215,C,Marrakech,Normal,Male,Sports and travel,16.15,8,6.46,135.66,03/17/2019,10:22,Cash,129.2,4.761904762,6.46,7.8
750118-59-8581,B,Rabat,Normal,Female,Health and beauty,15.12,5,3.78,79.38,03/20/2019,19:32,Ewallet,75.6,4.761904762,3.78,4.5
750119-23-6626,C,Marrakech,Member,Female,Food and beverages,68.66,6,20.598,432.56,01/20/2019,10:28,Credit card,411.96,4.761904762,20.598,7.6
750120-56-7108,C,Marrakech,Member,Male,Health and beauty,32.29,8,12.916,271.24,03/08/2019,19:10,Credit card,258.32,4.761904762,12.916,9.9
750121-22-7333,B,Rabat,Normal,Female,Home and lifestyle,71.09,1,3.5545,74.64,02/12/2019,11:21,Credit card,71.09,4.761904762,3.5545,8.7
750122-26-2388,B,Rabat,Normal,Male,Home and lifestyle,17.33,3,2.5995,54.59,03/25/2019,20:25,Cash,51.99,4.761904762,2.5995,9.5
750123-12-6940,B,Rabat,Normal,Female,Electronic accessories,70.3,9,31.635,664.33,02/24/2019,18:23,Credit card,632.7,4.761904762,31.635,4.6
750124-22-9317,B,Rabat,Member,Male,Home and lifestyle,95.28,8,38.112,800.35,01/20/2019,11:18,Ewallet,762.24,4.761904762,38.112,5.2
750125-31-8170,C,Marrakech,Member,Female,Food and beverages,21.79,7,7.6265,160.16,03/30/2019,19:51,Ewallet,152.53,4.761904762,7.6265,4.9
750126-40-6070,A,Casablanca,Normal,Female,Fashion accessories,74.76,8,29.904,627.98,02/27/2019,13:34,Credit card,598.08,4.761904762,29.904,7.7
750127-63-3655,B,Rabat,Member,Female,Fashion accessories,95.23,8,38.092,799.93,02/18/2019,18:33,Cash,761.84,4.761904762,38.092,6.8
750128-20-3626,A,Casablanca,Member,Female,Health and beauty,67.7,6,20.31,426.51,03/08/2019,11:18,Ewallet,406.2,4.761904762,20.31,7.3
750129-60-9224,B,Rabat,Normal,Male,Sports and travel,18.25,4,3.65,76.65,01/04/2019,16:03,Cash,73.0,4.761904762,3.65,8.9
750130-28-3254,B,Rabat,Member,Female,Health and beauty,43.74,1,2.187,45.93,03/25/2019,15:50,Ewallet,43.74,4.761904762,2.187,5.9
750131-37-3449,A,Casablanca,Normal,Female,Fashion accessories,84.79,8,33.916,712.24,01/11/2019,10:16,Ewallet,678.32,4.761904762,33.916,6.7
750132-18-2816,C,Marrakech,Normal,Male,Home and lifestyle,31.39,2,3.139,65.92,03/23/2019,19:29,Cash,62.78,4.761904762,3.139,4.3
750133-33-2402,B,Rabat,Member,Male,Fashion accessories,22.92,7,8.022,168.46,01/31/2019,19:26,Cash,160.44,4.761904762,8.022,4.0
750134-59-7116,C,Marrakech,Normal,Male,Food and beverages,58.96,9,26.532,557.17,03/02/2019,10:40,Cash,530.64,4.761904762,26.532,7.3
750135-55-9945,B,Rabat,Member,Female,Health and beauty,41.03,2,4.103,86.16,02/12/2019,12:02,Credit card,82.06,4.761904762,4.103,8.6
750136-35-1717,B,Rabat,Member,Female,Fashion accessories,53.06,3,7.959,167.14,02/28/2019,10:18,Ewallet,159.18,4.761904762,7.959,8.9
750137-55-1783,A,Casablanca,Member,Female,Home and lifestyle,56.38,9,25.371,532.79,03/24/2019,13:18,Ewallet,507.42,4.761904762,25.371,6.8
750138-33-9129,C,Marrakech,Normal,Female,Health and beauty,81.93,7,28.6755,602.19,02/26/2019,16:21,Credit card,573.51,4.761904762,28.6755,9.3
750139-33-9937,C,Marrakech,Normal,Female,Food and beverages,34.0,2,3.4,71.4,02/25/2019,19:52,Ewallet,68.0,4.761904762,3.4,8.4
750140-66-6759,B,Rabat,Normal,Male,Health and beauty,39.51,5,9.8775,207.43,02/24/2019,12:44,Credit card,197.55,4.761904762,9.8775,5.8
750141-61-6952,B,Rabat,Member,Female,Food and beverages,99.82,5,24.955,524.05,01/10/2019,20:40,Ewallet,499.1,4.761904762,24.955,7.8
750142-56-7272,C,Marrakech,Member,Male,Electronic accessories,86.37,8,34.548,725.51,01/31/2019,20:23,Ewallet,690.96,4.761904762,34.548,4.2
750143-56-7521,C,Marrakech,Member,Male,Fashion accessories,50.49,6,15.147,318.09,03/15/2019,12:33,Ewallet,302.94,4.761904762,15.147,6.2
750144-43-8311,B,Rabat,Normal,Male,Health and beauty,12.33,3,1.8495,38.84,03/13/2019,11:16,Cash,36.99,4.761904762,1.8495,7.0
750145-97-6236,A,Casablanca,Normal,Female,Electronic accessories,21.04,2,2.104,44.18,02/26/2019,11:51,Credit card,42.08,4.761904762,2.104,6.7
750146-56-9335,C,Marrakech,Normal,Male,Food and beverages,58.79,5,14.6975,308.65,03/31/2019,20:11,Credit card,293.95,4.761904762,14.6975,9.1
750147-80-3126,A,Casablanca,Member,Male,Electronic accessories,31.3,8,12.52,262.92,03/15/2019,15:29,Credit card,250.4,4.761904762,12.52,4.2
750148-50-2215,C,Marrakech,Member,Male,Home and lifestyle,45.83,8,18.332,384.97,03/15/2019,11:08,Cash,366.64,4.761904762,18.332,7.2
750149-17-3034,B,Rabat,Normal,Female,Electronic accessories,89.01,9,40.0545,841.14,01/17/2019,16:32,Ewallet,801.09,4.761904762,40.0545,7.8
750150-35-5496,C,Marrakech,Member,Female,Electronic accessories,24.58,4,4.916,103.24,02/06/2019,11:16,Credit card,98.32,4.761904762,4.916,6.1
750151-87-6531,A,Casablanca,Normal,Male,Food and beverages,67.68,10,33.84,710.64,01/22/2019,20:39,Ewallet,676.8,4.761904762,33.84,9.6
750152-91-1496,C,Marrakech,Member,Male,Health and beauty,14.09,10,7.045,147.94,03/15/2019,16:39,Ewallet,140.9,4.761904762,7.045,5.6
750153-66-7809,B,Rabat,Normal,Female,Sports and travel,32.04,7,11.214,235.49,03/30/2019,10:10,Ewallet,224.28,4.761904762,11.214,5.8
750154-57-9437,B,Rabat,Normal,Male,Home and lifestyle,64.59,6,19.377,406.92,02/14/2019,16:08,Cash,387.54,4.761904762,19.377,9.2
750155-59-7850,C,Marrakech,Member,Female,Electronic accessories,51.98,5,12.995,272.89,01/13/2019,10:18,Ewallet,259.9,4.761904762,12.995,6.7
750156-49-9148,A,Casablanca,Member,Female,Food and beverages,74.89,4,14.978,314.54,03/07/2019,17:31,Cash,299.56,4.761904762,14.978,8.6
750157-73-8710,A,Casablanca,Member,Female,Food and beverages,51.15,4,10.23,214.83,01/07/2019,10:18,Cash,204.6,4.761904762,10.23,5.3
750158-16-4189,B,Rabat,Member,Male,Sports and travel,22.05,5,5.5125,115.76,02/16/2019,10:25,Cash,110.25,4.761904762,5.5125,8.4
750159-26-2584,B,Rabat,Normal,Male,Sports and travel,55.38,9,24.921,523.34,03/29/2019,19:07,Credit card,498.42,4.761904762,24.921,5.7
750160-15-1637,B,Rabat,Normal,Female,Food and beverages,94.5,3,14.175,297.68,02/21/2019,18:02,Credit card,283.5,4.761904762,14.175,5.2
750161-30-7438,A,Casablanca,Normal,Female,Food and beverages,51.12,10,25.56,536.76,02/11/2019,19:20,Ewallet,511.2,4.761904762,25.56,9.4
750162-12-7035,C,Marrakech,Normal,Female,Food and beverages,84.54,9,38.043,798.9,02/08/2019,17:52,Credit card,760.86,4.761904762,38.043,6.9
750163-39-1841,B,Rabat,Member,Female,Food and beverages,37.69,1,1.8845,39.57,03/25/2019,19:36,Cash,37.69,4.761904762,1.8845,7.6
750164-14-2800,C,Marrakech,Normal,Male,Food and beverages,66.61,10,33.305,699.4,01/19/2019,20:15,Cash,666.1,4.761904762,33.305,8.6
750165-70-2020,A,Casablanca,Member,Female,Home and lifestyle,47.69,7,16.6915,350.52,03/06/2019,19:58,Cash,333.83,4.761904762,16.6915,8.1
750166-78-6608,C,Marrakech,Member,Male,Food and beverages,39.25,8,15.7,329.7,01/23/2019,17:58,Cash,314.0,4.761904762,15.7,7.2
750167-46-4396,C,Marrakech,Normal,Female,Food and beverages,53.57,4,10.714,224.99,01/29/2019,14:49,Cash,214.28,4.761904762,10.714,5.7
750168-60-6654,C,Marrakech,Normal,Female,Sports and travel,41.39,5,10.3475,217.3,03/28/2019,18:24,Credit card,206.95,4.761904762,10.3475,5.7
750169-71-4505,A,Casablanca,Normal,Male,Home and lifestyle,95.97,2,9.597,201.54,03/25/2019,14:47,Cash,191.94,4.761904762,9.597,6.1
750170-91-4814,A,Casablanca,Normal,Female,Electronic accessories,19.83,10,9.915,208.21,03/27/2019,18:14,Ewallet,198.3,4.761904762,9.915,5.4
750171-30-7666,A,Casablanca,Member,Female,Home and lifestyle,74.56,2,7.456,156.58,01/01/2019,18:59,Ewallet,149.12,4.761904762,7.456,8.1
750172-83-4804,C,Marrakech,Normal,Female,Fashion accessories,27.95,5,6.9875,146.74,01/08/2019,11:41,Credit card,139.75,4.761904762,6.9875,5.9
750173-47-1613,C,Marrakech,Member,Male,Sports and travel,89.39,3,13.4085,281.58,02/20/2019,17:11,Ewallet,268.17,4.761904762,13.4085,9.6
750174-34-2845,A,Casablanca,Normal,Male,Home and lifestyle,35.61,9,16.0245,336.51,03/06/2019,17:17,Ewallet,320.49,4.761904762,16.0245,7.1
750175-34-3875,B,Rabat,Member,Female,Fashion accessories,33.15,3,4.9725,104.42,02/07/2019,19:43,Cash,99.45,4.761904762,4.9725,4.1
